,Applicant,Applicant country,Region,Category,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
68,Ai Therapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
69,Aier Rimonci Vision Technology Incubation Limited,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
70,Aim Immunotech Inc,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2019.0,2021.0,Terminator,3.0,0.6666666666666666
71,Ajinomoto Kk,Japan,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0030272452068617556,0.0,2022.0,2023.0,Continuant,2.0,1.0
72,Akamara Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
73,Akash Khandelwal,,,Individual,,,,,,,,,Akash Khandelwal,,
74,Akeso Biopharma Inc.,China,Asia,Commercial,10.0,31.0,0.30129557095510695,3.1,0.0030272452068617556,0.0016573403051707797,2016.0,2023.0,Continuant,8.0,1.25
75,Akeso Pharmaceuticals Inc.,China,Asia,Commercial,5.0,1.0,0.15064778547755348,0.2,0.0020181634712411706,0.002476836987432346,2017.0,2023.0,Continuant,7.0,0.7142857142857143
76,Aktan Gursel,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.008072653884964682,0.0,2020.0,2020.0,Transient,1.0,1.0
77,Alan J Korman,,,Individual,1.0,39.0,0.030129557095510694,39.0,0.004036326942482341,0.0,2012.0,2012.0,Transient,1.0,1.0
78,Albert Einstein College Of Medicine,United States,North America,Academic,1.0,4.0,0.030129557095510694,4.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
79,Alethia Biotherapeutics Inc.,Ireland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
80,Alici Evren,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2022.0,2022.0,Transient,1.0,1.0
81,Alkermes Pharma Ireland Ltd.,Sweden,Europe,Commercial,1.0,4.0,0.030129557095510694,4.0,,,2020.0,2020.0,Transient,1.0,1.0
82,Alligator Bioscience Ab,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
83,Allogene Therapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
84,Aloe Therapeutics Inc,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
85,Alteber Zoya,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
86,Alteogen Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
87,Althammer Sonja,,,Individual,1.0,8.0,0.030129557095510694,8.0,0.004036326942482341,0.0,2016.0,2016.0,Transient,1.0,1.0
88,Altor Bioscience Corp.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2015.0,2015.0,Transient,1.0,1.0
89,Altura Rachel A.,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.0030272452068617556,0.0,2021.0,2021.0,Transient,1.0,1.0
90,Alvarez Breckenridge Christopher Allen,,,Individual,1.0,10.0,0.030129557095510694,10.0,0.004036326942482341,0.0,2019.0,2019.0,Transient,1.0,1.0
91,Alx Oncology Inc,France,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
92,Amazeres Company,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
93,Amgen Inc.,Netherlands,Europe,Commercial,21.0,4.0,0.6327206990057246,0.19047619047619047,0.004036326942482341,0.02354031400449162,2018.0,2023.0,Continuant,6.0,3.5
94,Amgen Research Munich Gmbh,Germany,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2016.0,2016.0,Transient,1.0,1.0
95,Amphera B.V.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
96,Amplimmune Inc,United States,North America,Commercial,1.0,48.0,0.030129557095510694,48.0,,,2014.0,2014.0,Transient,1.0,1.0
97,Ampsource Biopharma Shanghai Inc.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
98,Amy Yee,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
99,Anaptysbio Inc,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2014.0,2017.0,Terminator,4.0,0.5
100,Andersen Raymond,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,1998.0,1998.0,Transient,1.0,1.0
101,Anderson Bart,,,Individual,1.0,4.0,0.030129557095510694,4.0,0.0020181634712411706,0.0,2017.0,2017.0,Transient,1.0,1.0
102,Anderson Hilary J,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,1998.0,1998.0,Transient,1.0,1.0
103,Andtbacka Robert,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2021.0,2021.0,Transient,1.0,1.0
104,Angarus Therapeutics Inc.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
105,Anhui Anke Biotechnology Group Co. Ltd.,China,Asia,Commercial,3.0,17.0,0.0903886712865321,5.666666666666667,,,2019.0,2021.0,Terminator,3.0,1.0
106,Anhui Biox Vision Biological Technology Co. Ltd.,China,Asia,Commercial,3.0,0.0,0.0903886712865321,0.0,,,2019.0,2021.0,Terminator,3.0,1.0
107,"Anhui Provincial Hospital, The First Affiliated Hospital Of Ustc",China,Asia,Academic,2.0,0.0,0.06025911419102139,0.0,,,2022.0,2023.0,Continuant,2.0,1.0
108,Anhui Rubiox Vision Biotechnology Co. Ltd.,China,Asia,Commercial,3.0,51.0,0.0903886712865321,17.0,,,2015.0,2019.0,Terminator,5.0,0.6
109,Anke Life Science Co Ltd,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
110,Antitope Ltd,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2012.0,2012.0,Transient,1.0,1.0
111,Ap Biosciences Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
112,Apceth Gmbh & Co Kg,Germany,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2015.0,2017.0,Terminator,3.0,0.6666666666666666
113,Apellis Pharmaceuticals Inc.,United States,North America,Commercial,1.0,4.0,0.030129557095510694,4.0,,,2015.0,2015.0,Transient,1.0,1.0
114,Aperisys Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2018.0,2018.0,Transient,1.0,1.0
115,Apexigen Inc.,Germany,Europe,Commercial,2.0,4.0,0.06025911419102139,2.0,,,2019.0,2020.0,Terminator,2.0,1.0
116,Apogenix Ag,United States,North America,Commercial,1.0,14.0,0.030129557095510694,14.0,,,2016.0,2016.0,Transient,1.0,1.0
117,Applied Research Systems,United States,North America,Academic,1.0,0.0,0.030129557095510694,0.0,,,1998.0,1998.0,Transient,1.0,1.0
118,Arana Therapeutics Inc,Canada,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2023.0,2023.0,Newcomer,1.0,1.0
119,Aratinga Bio Aio,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
120,Arbutus Biopharma Corp.,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
121,Arcus Biosciences Inc,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
122,Ares Trading Sa,Switzerland,Europe,Commercial,8.0,1.0,0.24103645676408555,0.125,0.0030272452068617556,0.0012873436687765652,2019.0,2022.0,Terminator,4.0,2.0
123,Ariad Gene Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2007.0,2007.0,Transient,1.0,1.0
124,Ariad Pharma Inc.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
125,Array Biopharma Inc.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
126,Asan Foundation,Australia,Europe,Academic,6.0,2.0,0.1807773425730642,0.3333333333333333,0.0020181634712411706,0.0,2020.0,2021.0,Terminator,2.0,3.0
127,Asan Social Welfare Foundation,United States,North America,Academic,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2020.0,2020.0,Transient,1.0,1.0
128,Ascend Biopharmaceuticals Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
129,Ascendo Biotechnology Inc,United States,North America,Commercial,,,,,,,,,Ascendo Biotechnology Inc,,
130,Ascletis Bioscience Co. Ltd.,South Korea,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2021.0,2021.0,Transient,1.0,2.0
131,Askat Inc,Singapore,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
132,Askgene Pharma Inc,Japan,Asia,Commercial,2.0,10.0,0.06025911419102139,5.0,0.0010090817356205853,0.0,2017.0,2020.0,Terminator,4.0,0.5
133,Aslan Pharmaceuticals Pte Ltd.,United States,North America,Commercial,2.0,13.0,0.06025911419102139,6.5,,,2018.0,2018.0,Transient,1.0,2.0
134,Assistance Publique-Hôpitaux De Paris (Aphp),France,Europe,Academic,5.0,9.0,0.15064778547755348,1.8,0.013118062563067608,4.8245658740108797e-05,2017.0,2020.0,Terminator,4.0,1.25
135,Astellas Pharma Inc.,Sweden,Europe,Commercial,5.0,2.0,0.15064778547755348,0.4,0.0010090817356205853,0.0,2019.0,2021.0,Terminator,3.0,1.6666666666666667
136,Aston Sci Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
137,Astrazeneca Ab,United States,North America,Commercial,10.0,0.0,0.30129557095510695,0.0,0.004036326942482341,0.002476836987432346,2020.0,2023.0,Continuant,4.0,2.5
138,Asylia Diagnostics,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2021.0,2021.0,Transient,1.0,1.0
139,Athenex Inc,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
140,Atio Biotherapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
141,Atlantic Pharmaceuticals Holdings Ltd.,United States,North America,Commercial,,,,,,,,,Atlantic Pharmaceuticals Holdings Ltd.,,
142,Atomic Energy Of Canada Ltd / Energie Atomique Du Canada Limitee,Canada,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
143,Atoosa Corp.,Australia,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
144,Atyr Pharma Inc.,South Korea,Asia,Commercial,1.0,10.0,0.030129557095510694,10.0,,,2017.0,2017.0,Transient,1.0,1.0
145,Aucentra Therapeutics Pty Ltd.,United Kingdom,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2023.0,2023.0,Newcomer,1.0,2.0
146,Aureo Co. Ltd.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
147,Autolus Ltd,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
148,Autotelic Bio Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
149,Avacta Life Sciences Ltd.,Australia,Europe,Commercial,2.0,3.0,0.06025911419102139,1.5,,,2020.0,2020.0,Transient,1.0,2.0
150,Aveo Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
151,Axelia Oncology Pty Ltd,Australia,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
152,Axiquire Operations Llc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
153,B Cell Solutions Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
154,Bai Xianhong,,,Individual,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
155,Baili Bio Chengdu Pharmaceutical Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2018.0,2018.0,Transient,1.0,1.0
156,"Bakacs, Tibor",,,Individual,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
157,Bao Boat Biomedical Science And Technology Shanghai Limited Company,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
158,Baolong Pharmaceutical Co Ltd,China,Asia,Commercial,1.0,3.0,0.030129557095510694,3.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
159,Barbiro Inbal,,,Individual,2.0,0.0,0.06025911419102139,0.0,0.008072653884964682,0.00015656056019325328,2022.0,2022.0,Transient,1.0,2.0
160,Bartucci Monica,,,Individual,1.0,13.0,0.030129557095510694,13.0,0.0020181634712411706,0.0,2010.0,2010.0,Transient,1.0,1.0
161,Basciano Paul A,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.007063572149344097,0.0,2022.0,2022.0,Transient,1.0,1.0
162,Batu Biologics Inc.,United States,North America,Commercial,3.0,2.0,0.0903886712865321,0.6666666666666666,,,2016.0,2017.0,Terminator,2.0,1.5
163,Bavarian Nordic As,Denmark,Europe,Commercial,2.0,18.0,0.06025911419102139,9.0,,,2015.0,2021.0,Terminator,7.0,0.2857142857142857
164,Bayemattig Bio Share Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
165,Bayer Ag,Germany,Europe,Commercial,5.0,0.0,0.15064778547755348,0.0,0.0020181634712411706,2.0385489608496674e-06,2019.0,2023.0,Continuant,5.0,1.0
166,Bayer Pharma Ag,Germany,Europe,Commercial,3.0,0.0,0.0903886712865321,0.0,0.0010090817356205853,0.0,2018.0,2023.0,Continuant,6.0,0.5
167,Baylor College Of Medicine,United States,North America,Academic,4.0,11.0,0.12051822838204278,2.75,0.0030272452068617556,0.02144094833297661,2019.0,2020.0,Terminator,2.0,2.0
168,Baylor Research Institute,United States,North America,Academic,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2020.0,2020.0,Transient,1.0,1.0
169,Bedrosian Camille L,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2007.0,2007.0,Transient,1.0,1.0
170,Beigene Ltd.,China,Asia,Commercial,7.0,24.0,0.21090689966857487,3.4285714285714284,0.0030272452068617556,0.0,2017.0,2020.0,Terminator,4.0,1.75
171,Beigene Switzerland Gmbh,Germany,Europe,Commercial,4.0,0.0,0.12051822838204278,0.0,0.0010090817356205853,0.0,2017.0,2023.0,Continuant,7.0,0.5714285714285714
172,Beijing Aisaiji Biopharmaceutical Technology Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
173,Beijing Bailai Biotechnology Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
174,Beijing Beyond Biotechnology Co. Ltd.,China,Asia,Commercial,3.0,19.0,0.0903886712865321,6.333333333333333,0.0010090817356205853,0.0,2018.0,2020.0,Terminator,3.0,1.0
