,Inventor,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
65,Ahn Sung Ho,2.0,2.0,0.06027727546714888,1.0,0.002092280585838564,1.819163504960495e-07,2017.0,2018.0,Terminator,2.0,1.0
66,Ai Hengling,1.0,1.0,0.03013863773357444,1.0,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,1.0
67,Ai Midan,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,1.0
68,Aijima Michiko,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
69,Aiman Shalabi,3.0,9.0,0.09041591320072333,3.0,0.0022024006166721727,7.370305465849686e-06,2015.0,2015.0,Transient,1.0,3.0
70,Aimone Paola Daniela,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
71,Ainscow Edward,2.0,1.0,0.06027727546714888,0.5,0.0007708402158352604,9.702205359789307e-09,2020.0,2022.0,Terminator,3.0,0.6666666666666666
72,Aiyetan Paul Oluwaseyi,1.0,0.0,0.03013863773357444,0.0,0.001872040524171347,0.0,2023.0,2023.0,Newcomer,1.0,1.0
73,Akamatsu Ayumi,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2023.0,2023.0,Newcomer,1.0,1.0
74,Akamatsu Hiroaki,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,1.0
75,Akele Frederick,1.0,2.0,0.03013863773357444,2.0,0.0009910802775024777,0.0,2018.0,2018.0,Transient,1.0,1.0
76,Akhurst Rosemary J,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2016.0,2016.0,Transient,1.0,1.0
77,Akiyama Yasuto,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2022.0,2022.0,Transient,1.0,1.0
78,Akiyoshi Kazunari,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
79,Akle Charles,2.0,3.0,0.06027727546714888,1.5,0.00033036009250082593,4.8511026798946535e-08,2014.0,2021.0,Terminator,8.0,0.25
80,Aktan Gursel,2.0,1.0,0.06027727546714888,0.5,0.001211320339169695,0.00015101482642512057,2016.0,2020.0,Terminator,5.0,0.4
81,Aktoudianakis Evangelos,4.0,0.0,0.12055455093429776,0.0,0.0026428807400066074,8.085171133157757e-09,2018.0,2022.0,Terminator,5.0,0.8
82,Alam Md Masud,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
83,Alam Rakibul,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,1.0
84,Alan J Korman,16.0,129.0,0.48221820373719104,8.0625,0.008589362405021474,0.012736561021375992,2003.0,2019.0,Terminator,17.0,0.9411764705882353
85,Alba Conejo Emilio,2.0,2.0,0.06027727546714888,1.0,0.001211320339169695,9.095817524802476e-08,2020.0,2023.0,Continuant,4.0,0.5
86,Albacker Lee Alan,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
87,Albanell Mestres Joan,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,1.0
88,Albarghouthi Methal,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
89,Alberts Peteris,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
90,Aldajani Mohammed Abdulfattah,1.0,12.0,0.03013863773357444,12.0,0.00022024006166721728,0.0,2016.0,2016.0,Transient,1.0,1.0
91,Aleksandra Kowalczyk,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,7.550741321256029e-05,2018.0,2021.0,Terminator,4.0,0.5
92,Aleksei Aleksandrovich Aleksandrov,1.0,0.0,0.03013863773357444,0.0,0.0013214403700033037,0.0,2023.0,2023.0,Newcomer,1.0,1.0
93,Alessandra Di Pietro,3.0,9.0,0.09041591320072333,3.0,0.002753000770840216,0.002085414204773738,2015.0,2016.0,Terminator,2.0,1.5
94,Algul Hana,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2021.0,2021.0,Transient,1.0,1.0
95,Ali Khaled M K Z,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,3.465073342781895e-09,2020.0,2022.0,Terminator,3.0,0.6666666666666666
96,Alibhai Imran,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
97,Alici Evren,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
98,Alila Hector,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
99,Alioto Salvatore,1.0,3.0,0.03013863773357444,3.0,0.00044048012333443455,0.0,2021.0,2021.0,Transient,1.0,1.0
100,Alishekevitz Dror,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2023.0,2023.0,Newcomer,1.0,1.0
101,Alizadeh Arash Ash,3.0,3.0,0.09041591320072333,1.0,0.00044048012333443455,8.085171133157756e-09,2021.0,2022.0,Terminator,2.0,1.5
102,Allen Ebens,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
103,Allenbach Yves,2.0,0.0,0.06027727546714888,0.0,0.0005506001541680432,3.63832700992099e-08,2020.0,2020.0,Transient,1.0,2.0
104,Allison James,6.0,8.0,0.18083182640144665,1.3333333333333333,0.0016518004625041295,5.4865971309608533e-05,2014.0,2021.0,Terminator,8.0,0.75
105,Almagro Juan Carlos,1.0,0.0,0.03013863773357444,0.0,0.0014315604008369124,0.0,2021.0,2021.0,Transient,1.0,1.0
106,Almasi Shekoufeh,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
107,Almassy Robert J,1.0,12.0,0.03013863773357444,12.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
108,Alonso Marcos N,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2021.0,2021.0,Transient,1.0,1.0
109,Alonso Michael N,2.0,0.0,0.06027727546714888,0.0,0.0006607201850016519,0.0,2021.0,2021.0,Transient,1.0,2.0
110,Alt Jesse,1.0,9.0,0.03013863773357444,9.0,0.0005506001541680432,0.0,2018.0,2018.0,Transient,1.0,1.0
111,Alteber Zoya,4.0,1.0,0.12055455093429776,0.25,0.0044048012333443454,6.6298403291893564e-06,2018.0,2023.0,Continuant,6.0,0.6666666666666666
112,Alters Susan,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2017.0,2017.0,Transient,1.0,1.0
113,Althammer Sonja,2.0,12.0,0.06027727546714888,6.0,0.0008809602466688691,6.468136906526205e-08,2016.0,2017.0,Terminator,2.0,1.0
114,Altintas Isil,1.0,0.0,0.03013863773357444,0.0,0.0026428807400066074,0.0,2023.0,2023.0,Newcomer,1.0,1.0
115,Altura Rachel,3.0,1.0,0.09041591320072333,0.3333333333333333,0.002863120801673825,0.0003775734493329006,2017.0,2022.0,Terminator,6.0,0.5
116,Altura Rachel A,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2021.0,2021.0,Transient,1.0,1.0
117,Altura Rachel Allison,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
118,Alvarez Sanchez Rubén,2.0,0.0,0.06027727546714888,0.0,0.0005506001541680432,0.0,2022.0,2022.0,Transient,1.0,2.0
119,Alvarez-Breckenridge Christopher Allen,1.0,10.0,0.03013863773357444,10.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
120,Alvarez-Nunez Fernando Antonio,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2022.0,2022.0,Transient,1.0,1.0
121,Amano Koichi,1.0,2.0,0.03013863773357444,2.0,0.0008809602466688691,0.0,2016.0,2016.0,Transient,1.0,1.0
122,Amara Rama,1.0,2.0,0.03013863773357444,2.0,0.00033036009250082593,0.0,2014.0,2014.0,Transient,1.0,1.0
123,Ambarge Michael,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
124,Amemiya Takahiro,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
125,Amirina Najmia,1.0,1.0,0.03013863773357444,1.0,0.0014315604008369124,0.0,2019.0,2019.0,Transient,1.0,1.0
126,Amit Ido,1.0,3.0,0.03013863773357444,3.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
127,Amit Kumar Sharma,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
128,Amy Zhang,1.0,2.0,0.03013863773357444,2.0,0.0006607201850016519,0.0,2017.0,2017.0,Transient,1.0,1.0
129,An Eun Gyoung,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
130,An Guangyu,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
131,An Hee Jung,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2019.0,2019.0,Transient,1.0,1.0
132,An Kang,1.0,11.0,0.03013863773357444,11.0,0.0005506001541680432,0.0,2018.0,2018.0,Transient,1.0,1.0
133,An Qi,2.0,0.0,0.06027727546714888,0.0,0.0014315604008369124,0.00034642353347782116,2017.0,2021.0,Terminator,5.0,0.4
134,An Wenqi,2.0,11.0,0.06027727546714888,5.5,0.0009910802775024777,0.0003775370660628014,2018.0,2022.0,Terminator,5.0,0.4
135,Anagnostou Valsamo,1.0,8.0,0.03013863773357444,8.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
136,Anak Oezlem,1.0,0.0,0.03013863773357444,0.0,0.0013214403700033037,0.0,2017.0,2017.0,Transient,1.0,1.0
137,Andersen Bju Rn,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2017.0,2017.0,Transient,1.0,1.0
138,Andersen Daniel,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2022.0,2022.0,Transient,1.0,1.0
139,Andersen Mads Hald,1.0,0.0,0.03013863773357444,0.0,,,2021.0,2021.0,Transient,1.0,1.0
140,Andersen Raymond,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,1998.0,1998.0,Transient,1.0,1.0
141,Andersen Raymond J,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,1998.0,1998.0,Transient,1.0,1.0
142,Anderson Bart,2.0,5.0,0.06027727546714888,2.5,0.00033036009250082593,5.821323215873584e-07,2017.0,2021.0,Terminator,5.0,0.4
143,Anderson Courtney Kay,1.0,2.0,0.03013863773357444,2.0,0.0008809602466688691,0.0,2021.0,2021.0,Transient,1.0,1.0
144,Anderson Hilary J,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,1998.0,1998.0,Transient,1.0,1.0
145,Anderson Karen S,1.0,4.0,0.03013863773357444,4.0,0.00044048012333443455,0.0,2016.0,2016.0,Transient,1.0,1.0
146,Anderson Kenneth C,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
147,Anderson Maria Suhady,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2022.0,2022.0,Transient,1.0,1.0
148,Anderson Mark,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
149,Andersson Tommy,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
150,Ando Kiyoshi,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
151,Ando Takayuki,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2022.0,2022.0,Transient,1.0,1.0
152,Ando Yuichi,1.0,2.0,0.03013863773357444,2.0,0.0005506001541680432,0.0,2019.0,2019.0,Transient,1.0,1.0
153,Andre Pascale,2.0,11.0,0.06027727546714888,5.5,0.0007708402158352604,0.00022666777271807768,2015.0,2017.0,Terminator,3.0,0.6666666666666666
154,Andreeva Anastasiia Alekseevna,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
155,Andrei Borisovich Ulitin,1.0,0.0,0.03013863773357444,0.0,0.0013214403700033037,0.0,2023.0,2023.0,Newcomer,1.0,1.0
156,Andresen Thomas Lars,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
157,Andrew Evan Denker,3.0,17.0,0.09041591320072333,5.666666666666667,0.001211320339169695,2.7651285275399524e-06,2016.0,2021.0,Terminator,6.0,0.5
158,Andrew M. Lowy,2.0,0.0,0.06027727546714888,0.0,0.00011012003083360864,0.0,2021.0,2021.0,Transient,1.0,2.0
159,Andrew R Ferguson,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2023.0,2023.0,Newcomer,1.0,1.0
160,Andrews Glen Ian,2.0,0.0,0.06027727546714888,0.0,0.0015416804316705209,0.00030212667490383903,2016.0,2022.0,Terminator,7.0,0.2857142857142857
161,Andrews John,1.0,299.0,0.03013863773357444,299.0,0.0009910802775024777,0.0,2003.0,2003.0,Transient,1.0,1.0
162,Andrews Miles C,2.0,1.0,0.06027727546714888,0.5,0.0009910802775024777,2.005930958136439e-05,2019.0,2019.0,Transient,1.0,2.0
163,Andrieu-Abadie Nathalie,4.0,31.0,0.12055455093429776,7.75,0.0008809602466688691,5.012806102557808e-08,2017.0,2020.0,Terminator,4.0,1.0
164,Andtbacka Robert,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
165,Andy Blake-Haskins,2.0,9.0,0.06027727546714888,4.5,0.0016518004625041295,6.930146685563789e-09,2015.0,2015.0,Transient,1.0,2.0
166,Andy Huang,1.0,0.0,0.03013863773357444,0.0,0.0011012003083360864,0.0,2021.0,2021.0,Transient,1.0,1.0
167,Ang Agnes L,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
168,Angela Christiano,1.0,0.0,0.03013863773357444,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
169,Angela Goodenough,1.0,0.0,0.03013863773357444,0.0,0.0023125206475057814,0.0,2017.0,2017.0,Transient,1.0,1.0
170,Anisimova Natalya Yurevna,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2021.0,2021.0,Transient,1.0,1.0
171,Anissa Sh Chan,2.0,0.0,0.06027727546714888,0.0,0.0009910802775024777,0.0,2020.0,2021.0,Terminator,2.0,1.0
172,Anke Klippel,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2018.0,2018.0,Transient,1.0,1.0
173,Anna Konstantinovna Vladimirova,2.0,0.0,0.06027727546714888,0.0,0.0026428807400066074,1.7463969647620752e-06,2016.0,2023.0,Continuant,8.0,0.25
174,Annala Alexandra Jacqueline,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
175,Annamalai Lakshmanan,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2020.0,2020.0,Transient,1.0,1.0
176,Anquetil Céline,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
177,Antochshuk Valentyn,2.0,3.0,0.06027727546714888,1.5,0.0006607201850016519,0.00011329750308893963,2018.0,2019.0,Terminator,2.0,1.0
178,Antonarakis Emmanuel S,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
179,Antonia Scott,2.0,0.0,0.06027727546714888,0.0,,,2016.0,2021.0,Terminator,6.0,0.3333333333333333
180,Antonio Marchini,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2017.0,2017.0,Transient,1.0,1.0
181,Antony George Joyee,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2018.0,2018.0,Transient,1.0,1.0
182,Antonysamy Mary,1.0,0.0,0.03013863773357444,0.0,0.0022024006166721727,0.0,2022.0,2022.0,Transient,1.0,1.0
183,Ao Keyi,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2023.0,2023.0,Newcomer,1.0,1.0
184,Aoki Hiroyasu,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
185,Aparna Katoch Sapra,2.0,1.0,0.06027727546714888,0.5,0.0005506001541680432,1.1319239586420857e-07,2016.0,2022.0,Terminator,7.0,0.2857142857142857
186,Apelian David,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2012.0,2012.0,Transient,1.0,1.0
187,Apostolova Petya,2.0,0.0,0.06027727546714888,0.0,0.00022024006166721728,0.0,2020.0,2023.0,Continuant,4.0,0.5
188,Appel Stanley,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
189,Appleby Todd,1.0,0.0,0.03013863773357444,0.0,0.0025327607091729988,0.0,2018.0,2018.0,Transient,1.0,1.0
190,Aragon Virginia,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2022.0,2022.0,Transient,1.0,1.0
191,Aras Uri A,1.0,0.0,0.03013863773357444,0.0,0.001211320339169695,0.0,2021.0,2021.0,Transient,1.0,1.0
192,Aras Urvi Ashish,1.0,0.0,0.03013863773357444,0.0,0.001211320339169695,0.0,2021.0,2021.0,Transient,1.0,1.0
