,Application Year,Lens ID,Applicant
57,2021,196-830-048-379-365,University Of China Pharma
58,2020,044-718-440-996-26X,Janssen Sciences Ireland Unlimited Co.
59,2022,195-472-910-926-943,Incyte Corp.
60,2020,034-004-386-160-711,Shenzhen Rhegen Biotechnology Co. Ltd.
61,2020,061-584-834-451-540,Shenzhen Rhegen Biotechnology Co. Ltd.
62,2022,150-450-533-650-514,The Us Government Represented By The Department Of Veterans Affairs
63,2022,150-450-533-650-514,University Of Illinois
64,2023,090-977-102-397-701,Vyriad Inc.
65,2023,090-977-102-397-701,Regeneron Pharmaceuticals Inc.
66,2020,008-869-858-737-268,Asan Foundation
67,2020,008-869-858-737-268,University Of Ulsan Foundation For Industrial Cooperation
68,2020,166-128-199-968-089,University Of Guangzhou
69,2018,125-783-871-455-454,Nanjing Sanhome Pharmaceutical Co. Ltd.
70,2016,027-265-774-145-910,University Of Kyoto
71,2016,027-265-774-145-910,Japanese Foundation For Cancer Research
72,2016,186-977-531-040-701,Pfizer
73,2016,186-977-531-040-701,Merck Patent Gmbh
74,2023,154-598-940-078-064,Memorial Sloan Kettering Cancer Center
75,2023,154-598-940-078-064,Memorial Hospital For Cancer And Allied Diseases
76,2023,154-598-940-078-064,Sloan Kettering Institute For Cancer Research
77,2023,109-090-735-631-968,Beijing Biohealthcare Biotechnology Co. Ltd.
78,2016,063-407-446-571-853,Ipsen Pharma Sas
79,2019,159-995-755-684-450,Sunshine Lake Pharma Co. Ltd.
80,2016,002-731-794-216-454,Mayo Foundation
81,2020,012-360-854-404-389,Incyte Corp.
82,2020,088-620-970-076-357,Incyte Corp.
83,2023,072-047-526-170-830,"Zhongshan Hospital, Fudan University"
84,2022,196-149-022-019-399,Shanghai Synergy Pharmaceutical Sciences Co. Ltd.
85,2022,196-149-022-019-399,Zhejiang Huahai Pharmaceutical Co. Ltd.
86,2022,067-004-700-829-354,Shenzhen Institute Of Advanced Technology
87,2022,114-141-058-442-315,Shenzhen Institute Of Advanced Technology
88,2021,120-538-325-352-190,Shenzhen Zheyuan Biotechnology Co. Ltd.
89,2019,134-594-492-750-043,University Health Network
90,2021,077-429-083-832-430,Incyte Corp.
91,2021,162-392-961-710-918,Incyte Corp.
92,2019,182-710-480-865-915,Shanghai Maxinovel Pharmaceuticals Co. Ltd.
93,2021,138-026-859-491-501,Shanghai Synergy Pharmaceutical Sciences Co. Ltd.
94,2021,138-026-859-491-501,Zhejiang Huahai Pharmaceutical Co. Ltd.
95,2021,130-155-571-968-147,Incyte Corp.
96,2023,044-931-718-464-886,Xiamen Traditional Chinese Medicine Co. Ltd.
97,2022,066-647-402-251-948,Shanghai Synergy Pharmaceutical Sciences Co. Ltd.
98,2022,066-647-402-251-948,Zhejiang Huahai Pharmaceutical Co. Ltd.
99,2021,078-030-899-505-530,Incyte Corp.
100,2020,139-914-966-912-457,University Of Florida
101,2020,143-831-912-993-280,Bayer Ag
102,2018,069-561-657-911-575,Chemocentryx Inc.
103,2019,092-528-393-193-950,Chemocentryx Inc.
104,2021,118-134-770-071-191,Regeneron Pharmaceuticals Inc.
105,2020,163-832-295-266-829,Regeneron Pharmaceuticals Inc.
106,2020,009-702-511-506-059,"Harrison, Jeffrey K"
107,2020,009-702-511-506-059,Chemocentryx Inc.
108,2022,159-754-769-845-326,Zhongnoi Regenerative Medicine Science And Technology New Zhu Haiqin District Limited Company
109,2023,090-969-917-378-704,Mei Pharma Inc.
110,2023,133-742-584-564-366,University Of Lanzhou Second Hospital
111,2020,097-325-764-150-24X,Incyte Corp.
112,2020,102-250-962-391-787,Incyte Corp.
113,2022,183-803-875-009-426,Sanofi Biotechnology
114,2022,183-803-875-009-426,Regeneron Pharmaceuticals Inc.
115,2022,021-281-267-440-693,Regeneron Pharmaceuticals Inc.
116,2021,076-938-556-879-124,Huyabio International Llc
117,2021,023-782-080-026-239,Wuxi Zhenhe Biotechnology Co. Ltd.
118,2021,023-782-080-026-239,"Cancer Hospital, Chinese Academy Of Medical Sciences"
119,2022,040-092-696-586-195,Novartis Ag
120,2022,040-092-696-586-195,Dana-Farber Cancer Institute Inc.
121,2022,040-092-696-586-195,University Of Pennsylvania
122,2022,040-092-696-586-195,Harvard College
123,2017,047-269-469-275-78X,"Yoo, Stephen S"
124,2017,047-269-469-275-78X,Stcube Inc.
125,2017,047-269-469-275-78X,University Of Texas
126,2022,024-151-768-263-748,Shanghai Celgen Biopharma Co. Ltd.
127,2021,055-679-687-105-764,Shanghai Origimed Co. Ltd.
128,2022,011-066-702-549-235,"Fujian Cancer Hospital, Fujian Cancer Research Institute, Fujian Cancer Prevention And Control Center"
129,2022,011-066-702-549-235,University Of Fuzhou
130,2022,154-914-985-899-650,Xilio Dev Inc.
131,2022,084-548-255-485-419,University Of Georgetown
132,2022,081-165-621-877-555,Shanghai Celgen Biopharma Co. Ltd.
133,2021,121-081-859-656-454,Curevac Ag
134,2022,040-559-418-186-93X,Xilio Dev Inc.
135,2022,146-936-667-862-905,Beijing Jingda Biotechnology Co. Ltd.
136,2017,033-986-785-193-894,"Renji Hospital, Shanghai Jiaotong University School Of Medicine"
137,2020,139-930-418-111-739,Shanghai Hengrui Pharmaceutical Co. Ltd.
138,2020,139-930-418-111-739,Jiangsu Hengrui Medicine Co. Ltd.
139,2020,023-222-032-703-244,Bristol Myers Squibb Co.
140,2020,023-222-032-703-244,Five Prime Therapeutics Inc.
141,2021,183-358-346-708-851,Sanofi Biotechnology
142,2021,183-358-346-708-851,Regeneron Pharmaceuticals Inc.
143,2022,037-014-842-956-579,University Of Zhejiang
144,2022,037-014-842-956-579,Jinhua Research Institute Of Zhejiang University
145,2023,163-030-471-487-125,Bayer Pharma Ag
146,2023,163-030-471-487-125,Bayer Ag
147,2020,052-988-776-945-431,Regeneron Pharmaceuticals Inc.
148,2022,147-205-893-907-152,Huyabio International Llc
149,2021,139-910-489-496-535,"University Of Macau, Science & Technology"
150,2021,157-175-460-741-773,"Shandong First Medical University, Affiliated Provincial Hospital, Shandong Province Hospital"
151,2015,186-644-886-659-751,Johns Hopkins University
152,2023,179-872-693-729-216,"Cancer Hospital, Chinese Academy Of Medical Sciences"
153,2023,192-493-636-953-087,Iomx Therapeutics Ag
154,2021,080-609-809-264-839,Regeneron Pharmaceuticals Inc.
155,2018,185-709-325-427-422,Trillium Therapeutics Inc.
156,2023,145-731-282-328-765,Bristol Myers Squibb Co.
157,2023,145-731-282-328-765,Navire Pharma Inc.
158,2022,177-661-354-590-990,Regeneron Pharmaceuticals Inc.
159,2019,106-761-180-553-77X,Bayer Ag
160,2019,106-761-180-553-77X,Deutsches Krebsforschungszentrum (German Cancer Research Center)
161,2019,198-954-432-511-006,Bristol Myers Squibb Co.
162,2020,034-604-691-645-896,Pharma Mar Sa
163,2019,101-819-428-081-372,Regeneron Pharmaceuticals Inc.
164,2020,076-850-051-953-724,University Of Qinghai Nationalities
165,2022,049-389-683-658-254,Guangzhou Zhiyi Biotechnology Co. Ltd.
166,2016,047-221-690-655-631,Memorial Sloan Kettering Cancer Center
167,2022,085-827-983-539-364,Acetylon Pharmaceuticals Inc.
168,2022,165-365-646-956-665,Guangzhou Jiayue Medical Tech Co. Ltd.
169,2022,165-365-646-956-665,Shanghai Jiatan Medical Tech Co. Ltd.
170,2020,174-113-844-648-247,Shanghai Xinying Biotechnology Co. Ltd.
171,2020,164-687-568-910-076,Fukang Shanghai Health Tech Co. Ltd.
172,2020,057-052-741-466-880,Novartis Ag
173,2021,151-509-162-595-586,Zhou Qinghua
174,2022,177-561-646-896-440,"Cancer Hospital, Chinese Academy Of Medical Sciences"
175,2023,146-612-219-604-469,Dana-Farber Cancer Institute Inc.
176,2023,146-612-219-604-469,Harvard College
177,2021,070-437-719-257-749,Icahn School Of Medicine At Mount Sinai
178,2019,171-633-399-106-991,Kartos Therapeutics Inc.
179,2020,152-531-667-241-123,Shanghai Yuyao Biotech Ltd.
180,2017,031-455-569-133-461,Novartis Ag
181,2017,031-455-569-133-461,University Of Pennsylvania
182,2023,194-382-004-604-883,Gi Innovation Inc.
183,2021,001-950-328-913-037,"Zhongshan Hospital, Fudan University"
184,2020,008-609-563-478-448,University Of Pennsylvania
185,2020,008-609-563-478-448,Novartis Ag
186,2021,129-721-834-408-394,Columbia University
187,2021,129-721-834-408-394,Northwestern University
188,2020,159-854-683-126-679,Cambridge University Technical Services Limited
189,2023,019-137-878-089-187,Takeda Pharmaceuticals Co.
190,2019,154-278-698-062-810,Lin Huazi
191,2017,087-032-381-068-052,Hoffmann La Roche
192,2022,149-781-946-900-412,Seljelid Rolf
193,2014,090-230-132-157-463,Nat Cancer Ct
194,2022,039-987-694-054-736,Exeliom Biosciences
195,2021,068-003-484-467-003,Shanxi Medical University
196,2021,187-979-639-565-88X,Crystal Biosciences Inc.
197,2022,174-127-912-107-678,Regeneron Pharmaceuticals Inc.
198,2022,183-592-015-709-337,Jiangsu Provincial Academy Of Traditional Chinese And Western Medicine
199,2021,100-029-814-582-463,Fred Hutchinson Cancer Research Center
200,2021,199-622-140-299-694,Ascletis Bioscience Co. Ltd.
201,2021,130-757-454-007-943,Ascletis Bioscience Co. Ltd.
202,2020,182-670-108-314-945,Duke University
203,2018,134-210-351-658-619,Sbi Pharmaceuticals Co. Ltd.
204,2016,118-360-928-422-277,Xoma Technology Ltd.
205,2016,118-360-928-422-277,University Of California
206,2022,051-574-828-111-097,Affiliated Zhongshan Hospital Of Fudan University
207,2016,131-977-137-011-501,Bristol Myers Squibb Co.
208,2022,111-653-218-939-030,Jiangsu Provincial Academy Of Traditional Chinese And Western Medicine
209,2022,039-087-942-498-333,Betta Pharmaceuticals Co. Ltd.
210,2016,143-401-355-300-559,Synta Pharmaceuticals Corp.
211,2018,076-455-747-627-011,Replimune Ltd.
212,2017,170-012-412-070-420,Medimmune Llc
213,2021,156-977-555-119-109,Qure Biotechnology Shanghai Co. Ltd.
214,2020,157-370-813-175-580,University Of Texas
215,2021,152-644-969-006-576,G1 Therapeutics Inc.
216,2017,040-950-673-776-410,Taiho Pharmaceutical Co. Ltd.
217,2023,045-038-315-898-641,"Hokkaido University, National University Corporation"
218,2019,099-477-575-904-642,I-Mab Biopharma Us Ltd.
219,2006,170-668-426-894-115,Emory University
220,2006,170-668-426-894-115,Dana-Farber Cancer Institute Inc.
221,2006,170-668-426-894-115,Brigham And Women'S Hospital
222,2006,170-668-426-894-115,Harvard College
223,2022,111-942-110-554-893,First Auxiliary Hospital Of Zhengzhou University
224,2018,104-086-551-548-218,Amgen Inc.
225,2017,016-245-571-331-994,"Dalian Institute Of Chemical Physics, Chinese Academy Of Sciences"
226,2020,124-324-584-747-818,New York University
227,2020,124-324-584-747-818,Puretech Lyt Inc.
228,2020,061-034-185-725-639,University Of Utah Research Foundation
229,2018,158-701-247-833-197,Gilead Sciences Inc.
230,2022,016-447-516-173-570,Guangzhou Zhiyi Biotechnology Co. Ltd.
231,2019,142-967-507-912-287,Seoul National University Research & Development Foundation
232,2022,158-632-162-093-269,Nippon Kayaku Kk
233,2021,034-864-716-842-847,Chugai Pharmaceutical Co. Ltd.
234,2021,186-679-295-364-556,Shenzhen Institute Of Advanced Technology
235,2021,150-757-320-936-101,"Changchun Institute Of Applied Chemistry, Chinese Academy Of Sciences"
236,2021,054-601-438-237-84X,Sun Yat-Sen University
237,2019,046-896-406-759-898,Hasumi Kenichiro
238,2020,106-993-165-381-722,Hasumi International Research Foundation
239,2020,106-993-165-381-722,Hasumi Kenichiro
240,2022,143-479-932-974-765,Tianjin Lipogen Technology Co. Ltd.
241,2019,076-333-470-335-175,Genexine Inc.
242,2019,076-333-470-335-175,Neoimmunetech Inc.
243,2013,012-931-349-890-204,Dana-Farber Cancer Institute Inc.
244,2017,024-539-968-371-904,University Of Texas
245,2021,155-315-484-944-144,Industry-Academic Cooperation Foundation Of Yeungnam University
246,2022,134-097-227-890-785,Sun Yat-Sen University
247,2020,135-924-303-486-059,Pharma Mar Sa
248,2022,082-263-746-425-03X,Guangzhou Zhiyi Biotechnology Co. Ltd.
249,2022,056-482-024-392-691,University Of Zhejiang
250,2022,056-482-024-392-691,Jinhua Research Institute Of Zhejiang University
251,2022,067-876-093-342-357,Tianjin Lipogen Technology Co. Ltd.
252,2020,007-062-311-063-34X,Sungkwang Medical Foundation
253,2023,065-714-231-025-356,Chongqing Pharmaceutical Industrial Research Institute Co. Ltd.
254,2023,065-714-231-025-356,Yaopharma Co. Ltd.
255,2017,043-392-528-332-229,Memorial Sloan Kettering Cancer Center
256,2021,109-620-225-485-732,University Of China Pharma
257,2021,109-620-225-485-732,"China Australia Institute Of Translational Medicine Co. Ltd. Nanjing, China"
258,2018,039-595-029-061-749,Calithera Biosciences Inc.
259,2020,088-506-099-729-193,Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.
260,2021,150-605-952-342-800,Chengdu Jinrui Found Biotechnology Co. Ltd.
261,2019,064-066-402-313-346,University Of China Pharma
262,2019,064-066-402-313-346,"Cancer Hospital, Chinese Academy Of Medical Sciences"
263,2020,053-248-053-362-964,University Of China Pharma
264,2022,020-990-453-762-704,Wuhan Wuchang Hospital
265,2017,021-871-514-943-272,Genentech Inc.
266,2018,097-487-968-778-030,Soricimed Biopharma Inc.
267,2021,104-534-234-220-522,Zhihe Shandong Pharmaceutical Factory Co. Ltd.
268,2018,046-367-462-477-429,Tracon Pharmaceuticals Inc.
269,2017,187-779-856-462-418,Acerta Pharma Bv
270,2019,064-815-504-643-798,University Of Miyazaki
271,2022,089-631-632-997-938,The Second Affiliated Hospital Of Chongqing Medical University
272,2022,066-433-152-822-424,National University Corporation Okayama University
273,2021,012-697-029-342-687,Incyte Corp.
274,2019,063-145-593-388-234,Gilead Sciences Inc.
275,2019,069-542-744-658-439,Gilead Sciences Inc.
276,2022,140-909-032-958-127,General Incorporated Association Pharma Valley Project Supporting Organization
277,2022,140-909-032-958-127,Shizuoka Prefecture
278,2021,043-880-803-329-44X,H. Lee Moffitt Cancer Center And Research Institute Inc.
279,2016,100-226-968-235-811,Columbia University
280,2016,100-226-968-235-811,"Ghosh, Sankar"
281,2016,100-226-968-235-811,"Grinberg-Bleyer, Yenkel"
282,2017,183-221-246-344-758,"Zhang, Hao"
283,2019,064-216-156-782-446,Meiji Co. Ltd.
284,2018,108-043-493-978-759,Novartis Ag
285,2021,082-797-215-307-372,Shijiazhuang Chuangtai Biomedical Tech Co. Ltd.
286,2019,004-052-534-603-122,Corbus Pharmaceuticals Inc.
287,2022,175-670-728-246-337,Vir Biotechnology Inc.
288,2022,175-670-728-246-337,Gilead Sciences Inc.
289,2023,072-358-138-529-379,Genmab As
290,2023,072-358-138-529-379,Biontech Se
291,2020,053-892-151-538-801,Scripps Research Institute
292,2018,141-475-160-109-104,Novartis Ag
293,2019,165-433-016-429-133,Affiliated Tongji Hospital Of Tongji Medical College Of Huazhong University Of Science & Technology
294,2021,004-593-467-788-092,Kpc Pharmaceuticals Inc.
295,2021,004-593-467-788-092,Shanghai Kunheng Pharmaceutical Tech Co. Ltd.
296,2019,050-958-276-470-003,University Of Florida
297,2018,007-412-775-193-051,North Carolina State University
298,2019,144-706-248-160-996,Genmab As
299,2018,005-698-662-497-343,Mei Pharma Inc.
300,2016,149-882-538-774-261,Five Prime Therapeutics Inc.
301,2019,165-538-566-455-476,Novartis Ag
302,2019,052-616-853-231-567,Immutics Inc.
303,2022,076-078-920-590-144,Shanghai Hansoh Biomedical Co. Ltd.
304,2022,076-078-920-590-144,Jiangsu Hansoh Pharmaceutical Group Co. Ltd.
305,2022,026-036-770-104-323,Kpc Pharmaceuticals Inc.
306,2022,026-036-770-104-323,Shanghai Kunheng Pharmaceutical Tech Co. Ltd.
307,2022,027-478-728-272-168,Yonsei University International Academy For Chinese Foreign Students
308,2022,027-478-728-272-168,Korea Food & Drug Administration
309,2022,113-169-705-959-029,Kanglitai Biological Medicine (Qingdao) Co. Ltd.
310,2020,045-602-948-895-672,Beijing Gene Plus Medical Examination Laboratory Co. Ltd.
311,2020,045-602-948-895-672,Beijing Geneplus Tech Co. Ltd.
312,2018,015-592-494-169-144,"University Of Macau, Science & Technology"
313,2019,079-313-153-838-538,The Second Affiliated Hospital Of Guangzhou Medical University
314,2020,031-780-825-849-733,Juntendo Educational Foundation
315,2021,127-716-772-447-566,Array Biopharma Inc.
316,2022,182-446-140-334-085,Broad Institute Inc.
317,2022,182-446-140-334-085,Massachusetts General Hospital
318,2018,146-348-976-859-32X,Zhejiang Ipm Precision Medical Tech Co. Ltd.
319,2019,018-765-574-716-306,Pfizer
320,2019,018-765-574-716-306,Merck Patent Gmbh
321,2019,018-765-574-716-306,Vyriad
322,2019,018-765-574-716-306,Mayo Foundation
323,2021,186-285-815-017-020,Jeonnam Bioindustry Foundation
324,2022,158-152-470-994-20X,University Of Kansas State
325,2019,103-839-344-540-042,"National University Hospital, Singapore Pte Ltd."
326,2019,103-839-344-540-042,"Agency For Science, Technology, And Research, Singapore"
327,2019,103-839-344-540-042,National University Of Singapore
328,2022,191-807-628-988-493,Xiangya Hospital Of Southern And Middle University
329,2017,102-367-726-750-767,Ono Pharmaceutical Co.
330,2017,058-332-255-917-159,Pf Medicament
331,2017,133-240-860-791-582,Inserm
332,2017,133-240-860-791-582,Université Paul Sabatier Toulouse Iii
333,2017,133-240-860-791-582,Centre Hospitalier Universitaire De Toulouse
334,2020,065-873-177-938-59X,Yaokang Zhongtuo Jiangsu Pharmaceutical Technology Co. Ltd.
335,2022,162-454-463-408-821,University Of Tokyo
336,2021,170-219-438-092-503,Beyondspring Pharmaceuticals Inc.
337,2022,109-901-029-755-169,"Shanghai Institute Of Materia Medica, Chinese Academy Of Sciences"
338,2019,131-179-565-760-748,Zheng Quan
339,2021,135-592-225-857-361,Adlai Nortye Biopharma Co. Ltd.
340,2020,060-437-494-159-693,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
341,2020,060-437-494-159-693,Jiangsu Hengrui Medicine Co. Ltd.
342,2020,009-807-357-332-265,Yangtze River Pharmaceutical Group Co.
343,2020,009-807-357-332-265,Shanghai Haiyan Pharmaceutical Technology Co. Ltd.
344,2020,020-617-533-121-864,Shanghai Hengrui Pharmaceutical Co. Ltd.
345,2020,020-617-533-121-864,Suzhou Shengdiya Biological Medicine Co. Ltd.
346,2020,020-617-533-121-864,Jiangsu Hengrui Medicine Co. Ltd.
347,2021,169-946-686-898-341,Ono Pharmaceutical Co.
348,2018,142-705-640-638-264,Yangtze River Pharmaceutical Group Co.
349,2018,142-705-640-638-264,Shanghai Haiyan Pharmaceutical Technology Co. Ltd.
350,2021,152-985-923-888-193,Scandion Oncology As
351,2023,145-553-861-441-78X,The Third Xiangya Hospital Of Central South University
352,2016,154-032-788-838-416,Five Prime Therapeutics Inc.
353,2023,158-876-537-521-305,Affiliated Tongji Hospital Of Tongji Medical College Of Huazhong University Of Science & Technology
354,2023,085-604-243-491-141,University Of Osaka
355,2020,115-781-122-673-444,Memorial Sloan Kettering Cancer Center
356,2019,043-195-620-213-764,University Of Kyoto
357,2018,053-168-967-289-783,Amgen Inc.
358,2021,111-742-967-823-347,Vib Vzw
359,2021,111-742-967-823-347,Katholieke Universiteit Leuven
360,2020,013-270-833-727-151,Uti Lp
361,2020,015-175-417-262-495,"Institute Of Chemistry, Chinese Academy Of Sciences"
362,2020,015-175-417-262-495,Beijing Fullcan Biotechnology Co. Ltd.
363,2016,160-463-221-091-106,"University Of Wuerzburg, Julius-Maximilians-Universität"
364,2018,146-152-593-459-148,Novartis Ag
365,2018,146-152-593-459-148,"Sharp, Fiona"
366,2018,146-152-593-459-148,"Sandham, David Andrew"
367,2018,146-152-593-459-148,"Mataraza, Jennifer Marie"
368,2018,146-152-593-459-148,"Cameron, John Scott"
369,2018,146-152-593-459-148,"Faris, Jason"
370,2018,146-152-593-459-148,"Dranoff, Glenn"
371,2018,146-152-593-459-148,"Petruzzelli, Lilli"
372,2018,146-152-593-459-148,"Hoffmaster, Keith"
373,2018,146-152-593-459-148,"Macisaac, Kenzie"
374,2018,146-152-593-459-148,"Strieter, Robert Martin"
375,2018,146-152-593-459-148,"Kwak, Eunice"
376,2018,146-152-593-459-148,"Kazani, Shamsah"
377,2018,146-152-593-459-148,"Wiesmann, Marion"
378,2018,146-152-593-459-148,"Press, Neil John"
379,2018,146-152-593-459-148,"Sabatos, Peyton Catherine Anne"
380,2018,146-152-593-459-148,"Crystal, Adam"
381,2020,014-060-606-509-489,Taiho Pharmaceutical Co. Ltd.
382,2019,174-954-360-365-810,Nippon Medical School
383,2022,053-243-457-813-503,Jiangsu Target Biomedicine Research Institute Co. Ltd.
384,2021,104-628-471-267-911,Jiangsu Simcere Pharmaceutical Co. Ltd.
385,2017,123-598-718-788-212,Tg Therapeutics Inc.
386,2017,123-598-718-788-212,Lab Français Du Fractionnement
387,2017,123-598-718-788-212,Rhizen Pharmaceuticals Sa
388,2018,159-340-419-798-021,Sumitomo Dainippon Pharma Co. Ltd.
389,2023,020-785-392-096-994,Biovica International Ab
390,2019,183-371-726-737-415,Innovate Biopharmaceuticals Inc.
391,2016,128-185-186-141-579,University Of Louisville Research Foundation Inc.
392,2021,144-893-644-038-227,Imgt Co. Ltd.
393,2021,189-022-368-989-892,"Sun Yat-Sen University Cancer Center, Cancer Hospital Affiliated To Sun Yat-Sen University Cancer Research"
394,2023,077-178-129-267-227,Sichuan Academy Of Medical Sciences & Sichuan Provincial People'S Hospital
395,2020,044-845-170-499-360,Université Sorbonne
396,2020,044-845-170-499-360,Inserm
397,2020,044-845-170-499-360,Hôpitaux De Paris - Assistance Publique
398,2022,182-358-682-940-899,Adlai Nortye Biopharma Co. Ltd.
399,2022,017-934-925-232-193,Shanghai Hansoh Biomedical Co. Ltd.
400,2022,153-438-471-697-073,Strata Oncology Inc.
401,2021,164-590-503-836-011,Institut Gustave Roussy
402,2021,164-590-503-836-011,9 Meters Biopharma Inc.
403,2023,138-550-144-924-757,Dicerna Pharmaceuticals Inc.
404,2021,160-243-182-452-970,Genentech Inc.
405,2021,160-243-182-452-970,Hoffmann La Roche
406,2022,172-131-015-844-167,Rajagopal Sridharan
407,2022,172-131-015-844-167,Jubilant Prodel Llc
408,2016,108-749-422-021-84X,Merck Patent Gmbh
409,2022,025-842-143-691-514,Samsung Life Public Welfare Foundation
410,2022,074-337-648-194-900,"Sun Yat-Sen University Cancer Center, Cancer Hospital Affiliated To Sun Yat-Sen University Cancer Research"
411,2018,045-034-862-875-686,Biotest Ag
412,2020,066-153-062-151-720,Yan Jianfa
413,2019,106-621-318-608-645,Southern Medical University
414,2020,153-356-287-741-194,Yan Jianfa
415,2020,033-114-898-130-111,Yangtze River Pharmaceutical Group Co.
416,2020,033-114-898-130-111,Shanghai Haiyan Pharmaceutical Technology Co. Ltd.
417,2018,148-315-766-361-912,Inserm
418,2020,193-138-984-888-509,Aureo Co. Ltd.
419,2020,193-138-984-888-509,National Center On Child Health And Development
420,2022,134-687-101-963-280,Guangzhou Zhiyi Biotechnology Co. Ltd.
421,2020,171-440-879-918-154,Bristol Myers Squibb Co.
422,2021,189-239-562-343-697,Abbisko Therapeutics Co. Ltd.
423,2017,197-099-288-127-139,Kinki University
424,2017,197-099-288-127-139,Daiichi Sankyo Co. Ltd.
425,2022,039-528-632-542-416,Geninus Inc.
426,2022,039-528-632-542-416,Scailyte Ag
427,2016,171-990-951-151-477,Massachusetts Institute Of Technology
428,2022,020-836-444-269-664,"University Of Tübingen, Medizinische Fakultät"
429,2021,055-537-904-834-426,Mangukiya Hitesh Bhagavanbhai
430,2021,055-537-904-834-426,Huang Caigu
431,2019,119-189-540-124-889,Novartis Ag
432,2019,119-189-540-124-889,Aduro Biotech Inc.
433,2019,078-171-223-560-117,Tokyo Metropolitan Geriatric Hospital And Institute Of Gerontology
434,2019,078-171-223-560-117,University Of Gifu
435,2019,078-171-223-560-117,Ono Pharmaceutical Co.
436,2018,157-902-682-122-722,Regeneron Pharmaceuticals Inc.
